category,question,answer,source
my-finance,how to apply for a pan card? | online & offline application process | jupiter,"pan, or permanent account number, is a unique 10-digit alphanumeric identity for indian taxpayers. while applying for a pan card is optional, it is mandatory to quote your pan number for certain financial transactions, such as payments over inr 50,000.
it is also compulsory for individuals to have a pan card if they receive a taxable salary or professional fees or invest in mutual funds.
overall, the key objective of the pan card system is to act as a universal identification key for tracking financial transactions and preventing tax evasion, particularly by high net worth individuals.
who can apply for a new pan card?
anybody who earns a taxable income in india, including children and foreign nationals who pay taxes in india, must apply for a pan card with the income tax department of india. besides salaried individuals, those running a business or freelancing and earning over inr 5 lakhs in a financial year should also apply for a pan card.
even if your income isnt taxable, having a pan card is helpful when youre opening a new bank account, investing in mutual funds, or purchasing foreign currency to travel abroad.
how to apply for a pan card
the government of india has simplified the pan card application process. applicants can apply for a pan card through both online and offline methods.
to apply for the card online, you may visit the
nsdl portal
or
utitsl website
to process your application in a seamless, swift and contactless manner.
for offline applications, youre required to fill up and submit form 49a for indian citizens from either of these sites and send the duly filled and signed form to the concerned authority for it to get processed.
the charges for processing your pan application
according to the income tax department, the charges for applying for pan are inr 93 (excluding goods and services tax) for an indian address and inr 864 (excluding goods and services tax) for a foreign address. applicants may choose from bank cards, demand drafts and net banking to pay the fees.
online pan card application process
1. visit the
nsdl website
to apply for a pan card online. you can fill up all the requisite information on this site and upload the required documents to get your pan card in a few simple steps.
2. since you are applying for a new pan card, click on the apply online option on the top left of the page to proceed ahead.
3. once you click on the application type, you will see a drop-down with three options:
new pan  indian citizen
new pan  foreign citizen
changes or correction on existing pan/re-print of pan card
4. once you choose the required option, you will need to select the category. assuming you choose new pan  indian citizen, you will see a category list with options like an individual, firm, an associate of persons, hindu undivided family (huf), trust, limited liability partnership (llp), local authority, etc.
5. once you select your category, you will be required to fill in your personal information in the following sections:
title
last name
first name
middle name
date of birth
email id
phone number
6. after filling in the required information, you will be asked to re-type a captcha code before clicking on submit to send your data for processing.
7. on hitting submit, the website will provide you with an acknowledgement containing a token number, and you must print this page and save it for future reference. here, you must click on the ""continue with pan application form"" button.
8. you will now be redirected to fill in your personal details. once you include the necessary information, select how you would like to submit the documents. you have the following options available:
forward the application physically
submit using digital signature
submit via e-sign
you will have to choose between a physical pan card and a digital pan card. select the documents you are going to submit as proofs for identity, address, and date of birth. now confirm the declaration, place and date of application, review your form and proceed to the payment section after submitting your form.
9. you can choose to pay via demand draft or online payment through bill desk. if you select the former, you must have your demand draft ready while making the application. online payment may be made using bank cards or net banking.
10. click ""i agree to the terms of service"" and proceed to make the payment. the fee is different for online and offline applications. if you're paying online, you will receive a payment receipt that you must print and save.
11. after payment, you may choose to send the documents physically or authenticate your application with aadhaar authentication using the authenticate option. once you choose this option, click on ""continue with e-kyc"" to receive an otp on your mobile number linked to your aadhaar.
12. enter the otp to submit your form. now click on ""continue with e-sign"" followed by entering your aadhaar number to receive another otp. once you enter this otp, you will receive an acknowledgement slip that can be opened with your dob as the password in ddmmyy format.
offline pan card application process
here are the steps to follow to apply for a pan card through offline methods:
1. visit the official website of the income tax department of india to
download form 49a
.
2. fill up all the sections in the form carefully with accurate information.
3. after filling up the form, it must be posted along with:
two photographs
a copy of your id proof
a copy of your address proof
a demand draft for the applicable fee in favour of nsdl  pan payable at mumbai
4. send the pan card application to the following address:
income tax pan services unit (managed by nsdl e-governance, infrastructure limited), 5th floor, mantri sterling, plot no. 341, survey no. 997/8, model colony, near deep bungalow chowk, pune - 411 016.
what are the documents required to apply for a new pan card?
to apply for a pan card, you need a photo id proof to verify your identity, date of birth and address. the following documents should be adequate to apply for a new pan:
your aadhaar card
valid passport or an acknowledgement letter if the passport hasnt been received yet
recent passport size photographs
what to do if youve lost your pan card?
if youve lost your pan card, dont fret. besides reporting the loss, you can swiftly reprint a duplicate pan card from the tin-nsdl website. follow the steps outlined below to reprint your pan card online:
1. visit the nsdl website.
2. click on the apply now option to get a drop-down menu, wherein you must select the option of reprint of pan card.
3. fill in the mandatory information as required and hit submit. you will receive a token number on the next page that will also be sent to your email id provided on the previous page. save this token number for future reference and click on the continue with pan application form button at the bottom of the page.
4. type out your personal details and select the mode of submission for your pan application form. you may choose to:
forward the application documents physically to the pan services unit of nsdl via registered post.
submit your application online using the e-sign and e-kyc facility. for availing of this option, you need to have an aadhaar card, and the details should match your pan card information. you dont need to submit any scanned images or documents in this method.
the third method is the e-sign method, wherein you need an aadhaar and also upload scanned copies of photographs, signature and other documents. an otp will authenticate this application form.
next, you can choose between a physical pan card or an e-pan card, which requires a valid email id. check your email for a token number and make a note of it for future reference.
5. fill in the contact and document details on the next page, complete the declaration and click on submit to reach the payment page. you will receive a 15-digit acknowledgement number once you make the payment that can be used to track your pan application.
can you make changes to existing pan data?
yes, if theres an error in your pan card or you need to make some changes, you may follow the same procedure mentioned in the above section. just choose the application type as: changes or correction in existing pan data/ reprint of pan card (no changes in existing pan data).
if your pan card is lost or stolen, you should go with the option of reprinting your pan card without changing any information.
what you should remember while applying for a pan card
make sure that the details provided by you match with the information on your identity proofs.
ensure that you provide a valid address, phone number and email id in your application.
youre not allowed to hold two pan cards. you may only apply for a duplicate card if your original card has been stolen or misplaced.
if youre applying offline, fill form 49a in block letters only and dont forget to attach your photograph before posting. your signature or thumbprint must go across the picture attached to the form. if youre putting a thumb impression, it must be attested by a magistrate or a gazetted officer.
for online applications, all the attached files must be in jpeg format and within the recommended size.
1. how long is a pan valid after i apply for a pan card online?
once you apply for a pan card online and it is allotted to you, the pan number will remain valid forever.
2. can i hold more than one pan card?
no, it is a punishable offence under the income tax act, 1961, to hold more than one pan card. not obeying this rule can invite a penalty of inr 10,000.
3. what should i do if my pan card is lost?
if youve lost or pan card due to theft, immediately file an fir at the nearest police station. you will have to send a copy of the fir along with your duplicate pan card application online or offline.
4. how long does it take to receive a duplicate pan card after an online pan application?
your duplicate pan card will be dispatched within two weeks of the department receiving the application.
this is a companion discussion topic for the original entry at
http://jupiter.money/resources/how-to-apply-for-a-pan-card-online/",forum
my-finance,track recurring payments,i would like to have a feature to track the recurring payments every month. that way i can view all my upcoming payments anytime and keep sufficient amount in account. right now its only showing for bill payments. would love to have emi and personal transfers. kind of budget thing. cred money provides this feature and i am using it. but thats the only feature i use on cred. otherwise i dont have any reason to keep it on my mobile. jupiter provides most of the features.,forum
my-finance,what are some unexpected expenses you worry about?,"hi everyone,
were building something new on jupiter
 and we need your help.
lets face it  life throws curveballs.
unexpected expenses hit the hardest when they come out of nowhere and your bank balance takes the fall.
we want to understand
what
keeps you up at night when it comes to unplanned spends.
what are some examples?
a cracked phone screen (goodbye, 10k+)
sudden medical bills (er visits, tests, meds)
pet emergencies
laptop breaks right before a deadline
travel delays & cancellations
appliances breaking down
sound familiar?
these expenses arent regular. they dont show up on your monthly budget. but when they do ouch. they mess with your financial plans
and
your peace of mind.
so tell us
what are some unexpected/unanticipated expenses and spends that you are worried about?
drop your answers in the thread below  lets make financial wellness less unpredictable.
@trust_level_0",forum
my-finance,sip vs lumpsum  which investment path should we choose?,"sip vs lumpsum  which investment path should we choose?
sip
lump sum
other thoughts",forum
my-finance,what is sip,"sip stands for
systematic investment plan
.
its a method of investing a fixed amount of money regularly (weekly, monthly, etc.) into mutual funds, particularly equity mutual funds. instead of investing a lump sum, sip helps you invest in a disciplined and phased manner.",forum
my-finance,"folks who are good at saving money, whats your mindset?","question - what do you tell yourself when you really want to take that expensive trip or continue using your old gear (old phone, car, clothes etc).
banner
32403240 202 kb
any suggestions on how you make your controlled decisions?
situation 1 - you have a fully functional smartphone and it meets your satisfaction. however, theres a new model in the market with upgraded tech, looks classy too.
would you spend a few extra bucks to get minor upgrades? or do you convince yourself that its not that important?
asking for a friend.",forum
my-finance,p2p finance - as an investing asset class!,"continuing the discussion from
your current favorite finance feature?
:
hey folks what has your experience been with p2p financing as investment avenue?
what are the platforms you are using and what stood out?",forum
hall-of-fame,about the hall of fame category,"event and badge winners over here! we will keep topics related to community badges, savings challenge winners and future contest winners.",forum
hall-of-fame,community champions for october 2023,"its here folks!
the latest community champions results are out!
meet the champs for october 2023. we got 2
name -
@alexnazy
role - champion
alex has been one of the oldest members of this community. after his long break, hes back again better than ever! alex guided multiple members and friends with answering queries on the forum or sharing perspectives that can help you make decisions.
hes even come over to the bangalore hq a few times and helped the team with prototype testing and what not!
name -
@kingzeusvj
role - champion
vishwas is also another oldie in the community! we even had some of the best topics created by him! for example -
startup updates
he even kept it running and made more folks join the bandwagon. great spirit!
gooooodies?
the 2 of you will be getting
2000
each!
some links
- how to be a champ and get future perks?
- previous months winners
- the leaderboard
lets congratulate these 2",forum
hall-of-fame,community champions for june 2023,"its here folks!
the latest community champions results are out!
meet the champs for june 2023. we got 3
name -
@digital
role - champion
secret role - fintech guru
tamal has been one of our oldest members and has been extremely helpful over the past few months. hes been sharing advice, tips and guidance to our members.
hes basically the fintech guru in our community
name -
@aswin_benny
role - champion
secret role - bug hunter
aswin has recently turned into a council member and has been diligent in shaping the jupiter app to its perfection! hes known to be a techie and has provided tips to many. keep at it!
name -
@abhishek_ulayil
role - champion
secret role - agent coder 007
another recently turned council member, now turned into a champ! heard hes a coder. abhishek has been helping the team with critical bugs and decision-making here in the community and we thank you for that
gooooodies?
oh yes! the 3 of you will be getting a jupiter goodie box since its your first time as champs! (after  febs leaderboard update)
well reach out to you for details so that we can ship it out to you.
some links
- how to be a champ and get future perks?
- previous months winners
- the leaderboard
good job everyone
that goes out to everyone!",forum
hall-of-fame,community champions for may 2023,"its here folks!
the results for our community leaderboard rankings are out!
meet the champs for may 2023.
at rank 1 -
@razack
abdul is one of the oldest members and has always been a champ. but in the past month, hes been super active and has helped out almost everybody. hell be your go to buddy if you need to have a quick chat
at rank 2 -
@yagnesh01
2 times in a row! youve earned it. just like abdul, yagnesh has been super active on the forum and shared his insights, what could be done better and hell be one of the first peeps to engage with you
at rank 3 -
@saurabh.s
finally, we have saurabh at 3rd place. he has initiated threads for all of us to speak on. youve helped us test, validate bugs if true/false, and even updated folks for upcoming features
img_0218
11702153 128 kb
thank you all and congratulations!
the team will be connecting with you for your details so that the goodies can be shipped.
whats the surprise gift?
since
@razack
had become a champ for the first time after the leaderboard initiative, youll be getting a box of jupiter goodies
@yagnesh01
&
@saurabh.s
would be getting amazon vouchers worth rs.1000 (rank 2) and rs.750 (rank 3) respectively.
access to leaderboard -
jupiter community
more on how it works & rules -
introducing the community leaderboard
update for june leaderboard
there will be construct changes on:
selecting our future champions
leaderboard settings & earning rockets
what are the future surprises?
requirements for keeping your champion status
more updates for our leaderboard this week, stay tuned!",forum
hall-of-fame,community champions for april 2023,"its here folks!
the results for our community leaderboard rankings are out!
meet the champs for april 2023.
at rank 1
-
@saurabh.s
saurabh takes the crown for april 2023. he had initiated new threads for members to talk about. ranging from tech news,  stock markets, and more. saurabh also helped several members and shared his thoughts on products. keep it up!
at rank 2
-
@yagnesh01
yagnesh is probably one of the most active members of the forum. hes helped members with lots of things. from navigation, testing, helping team and community members with ideas/feedback, and more. youve got this, champ!
at rank 3
-
@pratyay_mustafi
finally, we have pratyay in 3rd place. hes an all-rounder on the forum! from news, to whats buzzing, to sharing his favorite interests and helping us build better with his feedback. hes the one!
april champs
10801712 185 kb
we would like to thank you once again for contributing and shaping the community into what it is today. this goes for everyone!
the team will be connecting with you for your details so that the goodies can be shipped.
whats the surprise gift?
since
@saurabh.s
and
@yagnesh01
are champs for the first time, theyll be getting a box of jupiter goodies
@pratyay_mustafi
was a champ in the month of march. youll be getting 500
instead!
access to leaderboard -
jupiter community
more on how it works & rules -
introducing the community leaderboard",forum
hall-of-fame,community champions for march 2023,"its here!
the results for our community leaderboard rankings are out!
meet the champs for march 2023,
at rank 1
-
@kirankiran10333
kiran has been helping us test various sections of the app and has found bugs, ui glitches and more. apart from this, he has helped other members with navigations and suggestions.
at rank 2
-
@sani
sani has been one of the most active member of our community forum, one would say hes quite chatter box! hes involved with suggestions, lab tests, news & trends and more. truly an all rounder!
at rank 3
-
@satyajit_singh
satyajit is one of the oldest bug hunters and still continues his hunt to this day. he makes sure that the app runs smoothly without any challenges. not only for himself, but for his friends and users. hes also contributed in lab tests and shared insights in multiple qnas.
screenshot 2023-04-01 at 10.57.33 am
17221282 169 kb
we would like to thank you once again for contributing and shaping the community to what it is today. this goes for everyone!
the team will be connecting with you for your details so that the goodies can be shipped.
access to leaderboard  -
jupiter community
more on how it works & rules -
introducing the community leaderboard",forum
hall-of-fame,community champions for february 2023,"its here!
the results for our community leaderboard rankings are out!
meet the champs for feb 2023,
at rank 1 -
@adilahmed
at rank 2 -
@omkar18
at rank 3 -
@pratyay_mustafi
leaderboard -
jupiter community
more on how it works -
introducing the community leaderboard 
congratulations! you are now part of the bigger league.
screenshot 2023-03-01 at 10.47.50 am
21621328 143 kb
we will be reaching out to you on dms for:
who do you want to connect and chill with?
pick any 1 person/team from the roster
share your address & details (on dm) for the jupiter goodie box
your mark on the hall of fame
our buddy roster:
team investments -
@aastha
,
@barun
,
@vasudhapande
,
@vidyut
team pots -
@ayushi_sethia
team insights & money management -
@lakhan_suchdev
team homepage and rewards -
@ankit_misra
team pro -
@somyasinha
,
@ritik_roy
team salary -
@kush
,
@sahil-sorathiya
team payments -
@bankofthefuture
the roster will change for the following months.
thank you all once again for contributing and shaping jupiter",forum
hall-of-fame,october 2022 | badge winners,"hall of fame time
here are our legendary community champions for october!
@the_but
@niranjan_kumar
@sai_charan
congrats! youll be getting the community champion badge and name tags on your profile
itll show up within 24hrs.
psst, well be doing something fun and new with all the
@community_champions
sometime this or the next week. this is exclusively for the community champs!
stay tuned, cant spoil more",forum
hall-of-fame,september 2022 | badge winners,"hall of fame time
here are our legendary community champions for september!
@aniket_dutta
@zed
@chevuru
congrats! youll be getting the community champion badge and name tags on your profile
itll show up within 24hrs.
keep it up, folks!",forum
hall-of-fame,august 2022 | badge winners,"hall of fame time
here are our legendary community champions for august!
@sheikh_azharuddin
@saurabhsaha
@arnab
congrats! youll be getting the community champion badge on your profile
itll show up within 24hrs.
if youre wondering how you got the badge,
read this
keep it up, folks!",forum
research-centre,about the research centre category,this category will be used for research / connecting via calls between community folks and the jupiter team.,forum
research-centre,research on neo banking,"dear community
im conducting a research on customer perception, compatibility and acceptance of neo banking in india. i consider this as an evolving area of banking, needless to say the potential it can unlock for a growing economy like india. your opinions, perspective and suggestions will help in coming up with a comprehension of the customers [users] of neo banking in india
i have designed a questionnaire to collect the data on the same. its my earnest request to you to spare a few minutes to fill in this questionnaire and help me in my study.
google docs
a study on customer preferences, compatibility, and acceptance of neo-banking...
i am required to collect the following information from the neo banking customers to understand the acceptability and perception towards neo-banking services. kindly fill out the following questionnaire and please be assured that the responses you...
thanks you
elroy
google docs
a study on customer preferences, compatibility, and acceptance of neo-banking...
i am required to collect the following information from the neo banking customers to understand the acceptability and perception towards neo-banking services. kindly fill out the following questionnaire and please be assured that the responses you...",forum
research-centre,metal debit card anyone?,"hello folks, been some time!
this could be the update youve been waiting for
we saw a bunch of you participating in the
quest for metal
after we announced the winners, people (a lot of them) had just one question for us  how and when they could get their
metal debit card
some of you also had ideas about setting criteria for who gets the metal card - higher nrv, mab, fees, etc.
link
so heres the update  while the card will continue to be limited, we want to ensure more of you get your hands on it.
interested? let us know how much you would like to pay for the metal card and what you expect from it.
ill go first - i would be okay to pay a one time cost that covers the issuance of a metal card and would expect it to be the shiniest piece of metal with me.
what are your thoughts? let us know in the comments below",forum
research-centre,high interest rate on your credit card?,"hey folks!
@research_centre
we want to connect with some of our community members to understand your
credit card usage
banner
32403240 219 kb
agenda
do you ever pay minimum amount or lesser than total due on your credit card?
were you aware about the interest/fee that will be charged to you?
how do you manage situations where you need to carry the balance to next month and pay interest?
in which situations do you carry current months bill to the next month?
jupiter wants to continue helping users manage their finances better & these question will help us provide products which can save people from the
high interest rates of credit cards.
if youre interested in joining us over a quick google meet/zoom call, let us know!
itll hardly take 15min or less.
a) yes, im in!
b) a
c) b
0
voters
bonus tips on how to improve your credit score!
so, are you in?",forum
research-centre,pots/superpots survey,"pots/superpots/habits users - looking get some understanding of currents pots/superpots usage, whether its meeting your needs, and potential areas of improvement we can make to improve it further. if you could take 5 min of your time to fill this survey, it would help us immensely.
google docs
jupiter pots/superpots survey
dear customers, 
help us answer 10 quick questions that will take 5 minutes, and will help us inform product strategy with pots/superpots on the jupiter app.
thanks in advance.",forum
research-centre,(poll of the week ) how do you use pots?,"hello again!
the team is working on improving your experience with pots and wanted to know your behavior and thoughts on it.
pots
10801080 128 kb
we have a set of polls for you below:
do you set a goal amount on your pots?
yes
no
woah! i didnt know about this feature
0
voters
how do you use pots (not super pots) currently?
segregating monthly spends (budgeting) ex: bills, premiums, sips
saving for goals (travel, gadgets, etc) or emergency
to not spend the money anywhere else
other
0
voters
and the below one is for superpot users
why do you use superpots?
saving for long-term goals
to get a higher interest rate
dont want to spend money anywhere else
other
0
voters
apart from this, wed love to hear about your experience on pots and how we can improve this.
lets use this thread to compile all the pots-related discussions and take this to the next level.
have a great weekend everyone!
@trust_level_0",forum
research-centre,let's understand how you bucket your spends with this small activity!,"hi everyone,
we are doing a quick
card sort activity
to see
how people bucket their spends.
bucket spends
10801080 42.9 kb
this will help us improve categories for money-out/money-in tracking. it will also give us inputs on what level of customisations people need with categorisation.
we would want everyone of you to participate to get a holistic view. and guess what, we are giving
amazon gift vouchers worth rs 500
to 5 lucky participants.
you can access the activity from
here
. more details are on the link.
note: you can create your own categories, not necessarily tag all spends to the given categories.
let me know if you face any issue in doing the activity.
ready to group your spends?",forum
research-centre,improving the jupiter help section | thoughts?,"hello everyone!
@research_centre
im mounica, from the product team at jupiter
im currently working on improving the help support home page and would like to get inputs from community on the same. would also love to chat about the product and get your views! i assure you that this will be a quick conversation!
whos in?
count me in!
maybe later
0
voters
my thoughts on this.
eg:
reduced navigation efforts in help section
self help guides
once you pick yes, well contact you over dm for details. you can share your views on chat or we can agree on a meeting time and get on a call. this should not take more than 10 mins.
cheers",forum
research-centre,introducing the research centre,"hey everyone!
weve been connecting with a lot of folks in the community on a 1-to-1 basis. many have gotten on calls with our product and marketing teams for various research + casual chat. this helped us a lot.
so, how about we make it official?
introducing a new category - research centre
purpose of this category:
jupiter team and community folks get to connect with each other.
share ideas, and opinions on various kinds of topics.
so how do we connect?
we created a subgroup here -
research centre - jupiter community
its open to the public. you can join here.
we will create a topic under the research centre category once in a while and tag
@research_centre
folks so that you will be notified if anything is up.
the topic will include things that are needed from you, whats it about, and a simple (yes/no) poll.
those who answer yes/interested folks, well connect with you via dms/comments and take it from there. details like email id should be shared so that we can send you invites for google meet/zoom, etc.
more info on this soon.
thanks and have a great day!",forum
research-centre,looking for views on priority banking support experience,"hi everyone!
@research_centre
im amatya, part of the customer experience team here at jupiter
i am looking to get inputs from our community members for priority/preferred banking services. it will be a quick conversation!
topics on:
what are some of the benefits of priority banking that you appreciate the most?
have you reached out for help to the bank? if yes, what are some of the differentiated customer support services you received as a priority member?
yup! count me in
maybe later
0
voters
once you pick yes, well contact you over dm for details. you can share your views on chat or we can agree on a meeting time and get on a call. this should not take more than 10 mins.
do let me know. cheers!",forum
general,welcome to the community,"hello!
welcome to the jupiter community
the inner circle for all things money, tech, and out-of-the-world ideas
so, what happens on planet jupiter? 
we listen. whether youre not able to differentiate between 0 and o in bank statements or just want a better color palette on the app, bring out our loopholes and well sort them right out.
we learn. vent out all your financial worries here and expect someone from the community to help you with them!
we hype each other up! tell us about your ideas and services you want jupiter to build. if it matters to you, itll matter to us!
long story short, treat this as a platform to discuss all things money
how to get started? 
tell us about yourself
break the ice, introduce yourself
check out the feature requests by our community:
community board
want to share your feature request? share
here
or check out our latest updates here -
weekly updates 
this is how you can stay up to date: 
activate jupiter community on your
phone
always stay in the know, activate
notifications
rules and guidelines: 
avoid creating a new topic if it already exists. we suggest you search for whats on your mind. if its here, you can start contributing!
if youre creating a new topic, try to categorize them with a suitable tag. if you cant sort the topic, no worries! our community team will categorize them for you.
posting or creating a topic 
how to upload an image
click on the icon shown below.
screenshot 2022-10-12 at 2.29.59 pm
1418352 27.6 kb
how to insert a poll
settings icon and click on insert poll.
you can share links, images, files like pdfs and gifs. video uploads arent supported.
however, youtube links can generate a preview and you can watch it here.
dm or message someone
click on your profile icon and tap on the message icon
if youve got a dm, it will show you a green pop up in numbers.
if youve got a notification, it will show you a space fire pop up in numbers (jupiter colours).
if youre facing any challenges -
process for service requests - please follow this (important)
if you need help with how the community functions, were always here for you
you can ping the
@community_team
/
@community_council
for further assistance.
heres to co-creating an experience for all things money!
cheers",forum
general,"break the ice, introduce yourself","people maketh community is as true as manners maketh man.
get to know all the people here and let them know a little about you? your interests, your work and maybe what got you here?!
ps: you never know who you might crash into so dont hold back",forum
general,about the general category,"off-topic threads that dont fit anywhere else
happy posting!",forum
general,i cant find the metal debit card option!,"i cant find the metal debit card buying option.
anyone help with the exact details or when i comes in an update!",forum
general,new reward structure for csb card?,"smartselect_20250316_215942_instagram
9971728 101 kb
so i got this ad for jupiter csb card. is this true. if true could you also allow some of visa edge card holders to apply for rupay. the fedral visa edge card seems to be dead atleast allow us to close and apply for csb rupay variant.",forum
general,how to buy metal debit card,how can i order it!,forum
general,secret project | are you in?,"were inviting you to build indias best rupay credit card.
do you want it to be lifetime free?
do you want more cashback? discount on bills?
maybe youd also want a unicorn or a complimentary lamborghini as a welcome gift.
well, whatever it is that you want, put it in the doc below
https://docs.google.com/document/d/1d25qds5xbkmsvl_fud6qi9y35lbkukbpdmenvbl9p1s/edit?tab=t.0
who can participate?
anyone can join & edit. everyones anonymous.
fyi, folks may delete almost everything on the doc. its pure chaos.
time limit
youve got a day to dream up the card of your dreams!
your time starts now.
go crazy.
@trust_level_0",forum
general,all telecom operators should allow free data to digital rupee apps.,"every bank have an additional app promoting digital indian currency digital rupee. but i dont think people even use these apps. if possible, telecom operators can allow such apps to work even when user doesnt have any active plan.
they can also make other upi payments chargeable except payments done on digital rupee app.
what you guys think about this app and its future?",forum
general,isn't the pot creation going to be easy as was it before,"i see any new pot creation takes me to kyc and im trying to create a pot for more than 2 month and im still unable to complete as it keeps loading and doesnt take me to approval process.
moreover this method is too time taking, isnt the pot creation going to be easy as was it before ?",forum
general,re-open jupiter account,"when will jupiter allow users who have closed jupiter account before to reopen account?
we really wanna use jupiter, please start work on this.",forum
help,process for service requests - please follow this (important),"hey folks!
hope everyone is well.
weve been noticing a lot of people raising service issues in the community without going through support channels first.
lets follow a process to ease things out:
if you face any issue/challenges in the app - reach out to our customer support first. we have a strong and dependable team who is ready to help you out.
heres how you can connect with our support team:
via app chat - open the jupiter app > home page, click on the ? icon > choose your query and start chat with an agent.
email support - support@jupiter.money
call support - +91 8655055086
we wont be able to fully address issues on the community channel unless one has formally gone through support channels. hence, the resolution for your issue will be given to you via support channels itself. not the community.
this community is a place to learn, interact, and get constructive feedback. more importantly, co-create the product together!
from,
the community team",forum
help,how to remove postpaid number reminders?,"i once paid bill for a postpaid number, but i keep on getting notification on it. how to remove reminder for those numbers?",forum
help,custom metal debit card,"i like to get a custom metal debit card.
how can i proceed?",forum
help,how to transfer money from jupiter second account?,"hi, as we know jupiter has two accounts in the app with federal bank.
i dont have any ongoing pot but somehow i transferred money to my second account using account details.
now how can i transfer that money to my main savings account?",forum
help,superpots removed,superpot is removed,forum
help,periodic kyc update,"i received this email and a sms from federal bank regarding periodic kyc update, but the link provided in the email isnt working. has anyone else faced this issue? what should i do next?
img_20250314_153421
10801626 238 kb",forum
help,pot withdrawal issue,"hey guys i am new to this community
i am having issues with my pot withdrawls.
i have tried multiple times withdrawing money from it but its showing withdrawal failed.
my jupiter account is active and so is my pots account.
pleass help me to resolve this issue as i urgently need the money.",forum
help,rto payment failed but money debited,"hi all
i was paying my rto tax online with my credit card on vahan page. money got deducted from my card but later on vahan page got error out.
i waited for 24 hours, now it is showing that transaction failed in vahan app.
so somebody can please help me if my money get refunded automatically or i have to follow somewhere. please suggest",forum
help,need help onboarding,"hi,
while onboarding, it doesnt allow me to open savings account. the mobile number which im using for registering on jupiter is already linked to my aadhaar but still it gives error mobile number not linked to aadhaar.
img_7688
11792556 147 kb",forum
help,unable to make transactions using my visa debit card,"im currently facing an issue with my visa debit card. whenever i try to make a transaction, it doesnt proceed to otp page and redirect to payment and transaction got failed, and im not sure what the problem is. ive double-checked the card details, and everything seems fine.
has anyone faced a similar issue?",forum
